project_id,project_code,project_name,project_description,project_type,department,start_date,planned_end_date,actual_end_date,duration_days,status,priority,progress_pct,health,risk_level,budget,actual_cost,currency,project_manager_id,sponsor_id,client_name,country,city,office_id,technologies,last_updated
1,PRJ-2025-001,Mobile App Redesign,"Mobile App Redesign is a r&d project led by the IT department. It focuses on aws-based solutions with a budget of 1,562,620 PLN. The project is currently completed with 100% progress.",R&D,IT,11/10/2025,3/22/2026,3/24/2026,132,Completed,Low,100,Green,High,1562620,1660161,PLN,271,394,,Poland,Poznan,81,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",3/24/2026
2,PRJ-2026-002,Inventory Management System,"Inventory Management System is a internal project led by the Operations department. It focuses on sap-based solutions with a budget of 268,042 EUR. The project is currently planned with 0% progress.",Internal,Operations,9/16/2026,2/20/2027,,157,Planned,High,0,Green,High,268042,0,EUR,108,47,,Germany,Frankfurt,38,"SAP, Python, Power BI, IoT",6/19/2026
3,PRJ-2027-003,Cloud Migration Phase 4,"Cloud Migration Phase 4 is a r&d project led by the IT department. It focuses on aws-based solutions with a budget of 1,494,209 EUR. The project is currently planned with 0% progress.",R&D,IT,2/13/2027,6/9/2028,,482,Planned,Medium,0,Green,Medium,1494209,0,EUR,194,225,,Netherlands,Amsterdam,4,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",5/23/2026
4,PRJ-2025-004,Last-Mile Delivery Optimization,"Last-Mile Delivery Optimization is a client project led by the Logistics department. It focuses on sap-based solutions with a budget of 1,597,250 GBP. The project is currently completed with 100% progress.",Client,Logistics,1/31/2025,7/26/2025,7/6/2025,176,Completed,Medium,100,Green,Medium,1597250,1809951,GBP,286,296,Massive Dynamic,UK,Birmingham,14,"SAP, IoT, Python, GPS Tracking, RFID",7/6/2025
5,PRJ-2025-005,Cloud Migration Phase 1,"Cloud Migration Phase 1 is a infrastructure project led by the IT department. It focuses on aws-based solutions with a budget of 321,522 PLN. The project is currently active with 81% progress.",Infrastructure,IT,7/22/2025,12/15/2025,,146,Active,Critical,81,Green,Low,321522,304669,PLN,271,194,,Poland,Poznan,81,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",7/6/2026
6,PRJ-2026-006,Budget Forecast Model,"Budget Forecast Model is a internal project led by the Finance department. It focuses on sap-based solutions with a budget of 341,095 EUR. The project is currently active with 23% progress.",Internal,Finance,4/21/2026,4/21/2027,,365,Active,High,23,Amber,Medium,341095,90198,EUR,133,275,,France,Paris,78,"SAP, Power BI, SQL, Tableau, Python",7/16/2026
7,PRJ-2025-007,IFRS 17 Compliance,"IFRS 17 Compliance is a internal project led by the Finance department. It focuses on sap-based solutions with a budget of 772,720 PLN. The project is currently active with 87% progress.",Internal,Finance,6/29/2025,9/9/2026,,437,Active,Medium,87,Amber,Medium,772720,571237,PLN,449,365,,Poland,Poznan,81,"SAP, Power BI, SQL, Tableau, Python",7/13/2026
8,PRJ-2023-008,Digital Marketing Platform,"Digital Marketing Platform is a internal project led by the Marketing department. It focuses on salesforce-based solutions with a budget of 736,394 USD. The project is currently cancelled with 11% progress.",Internal,Marketing,9/1/2023,10/25/2023,9/30/2023,54,Cancelled,Medium,11,Red,Medium,736394,246564,USD,132,377,,USA,Philadelphia,79,"Salesforce, HubSpot, Google Analytics, Figma",9/30/2023
9,PRJ-2026-009,Treasury System Migration,"Treasury System Migration is a internal project led by the Finance department. It focuses on sap-based solutions with a budget of 513,816 EUR. The project is currently planned with 0% progress.",Internal,Finance,8/3/2026,1/13/2027,,163,Planned,High,0,Green,Low,513816,0,EUR,48,312,,Germany,Berlin,11,"SAP, Power BI, SQL, Tableau, Python",6/7/2026
10,PRJ-2026-010,GDPR Audit & Remediation,"GDPR Audit & Remediation is a internal project led by the Legal department. It focuses on docusign-based solutions with a budget of 578,131 EUR. The project is currently planned with 0% progress.",Internal,Legal,12/23/2026,6/12/2027,,171,Planned,Medium,0,Green,High,578131,0,EUR,309,132,,Germany,Munich,68,"DocuSign, SharePoint, Power Automate",5/29/2026
11,PRJ-2026-011,Tax Optimization Initiative,"Tax Optimization Initiative is a client project led by the Finance department. It focuses on sap-based solutions with a budget of 558,320 EUR. The project is currently active with 16% progress.",Client,Finance,6/1/2026,10/25/2027,,511,Active,Low,16,Red,Medium,558320,99009,EUR,48,294,Globex Inc,Germany,Berlin,11,"SAP, Power BI, SQL, Tableau, Python",7/7/2026
12,PRJ-2026-012,Payment Gateway Integration,"Payment Gateway Integration is a compliance project led by the Finance department. It focuses on sap-based solutions with a budget of 86,051 EUR. The project is currently planned with 0% progress.",Compliance,Finance,9/3/2026,12/25/2026,,113,Planned,Medium,0,Green,Medium,86051,0,EUR,344,500,,France,Lyon,59,"SAP, Power BI, SQL, Tableau, Python",5/26/2026
13,PRJ-2023-013,Financial Reporting Automation,"Financial Reporting Automation is a compliance project led by the Finance department. It focuses on sap-based solutions with a budget of 282,018 PLN. The project is currently completed with 100% progress.",Compliance,Finance,5/6/2023,9/28/2024,10/6/2024,511,Completed,High,100,Green,Medium,282018,281074,PLN,362,69,,Poland,Gdansk,39,"SAP, Power BI, SQL, Tableau, Python",10/6/2024
14,PRJ-2026-014,Pricing Strategy Overhaul,"Pricing Strategy Overhaul is a infrastructure project led by the Sales department. It focuses on salesforce-based solutions with a budget of 2,863,929 USD. The project is currently planned with 0% progress.",Infrastructure,Sales,11/9/2026,5/29/2027,,201,Planned,Low,0,Green,Medium,2863929,0,USD,402,436,,USA,Austin,7,"Salesforce, Power BI, Excel, Python",6/9/2026
15,PRJ-2024-015,Data Warehouse Build,"Data Warehouse Build is a client project led by the IT department. It focuses on aws-based solutions with a budget of 2,043,924 GBP. The project is currently completed with 100% progress.",Client,IT,11/8/2024,2/27/2025,3/8/2025,111,Completed,High,100,Green,High,2043924,2221764,GBP,378,486,Massive Dynamic,UK,Glasgow,41,"AWS, Kubernetes, Python, React, PostgreSQL, Docker",3/8/2025
